10132, Josiah Robichaux, 6223.09, Personal
10133, Lea Feehan, 5993.41, Personal
10134, Tesha Batz, 1345.06, Personal
10135, Ria Prost, 5984.28, Personal
10136, Jeanna Gorrell, 2305.70, Personal
10137, Cyrstal Mendes, 8530.24, Personal
10138, Juliet Zaragosa, 4054.63, Personal
10139, Alita Wilson, 438.33, Personal
10140, Thi Funke, 5445.96, Personal
10141, Synthia Fleitas, 6484.94, Personal
10142, Patrice Vescio, 5717.75, Personal
10143, Marva Leonardo, 7012.12, Personal
10144, Camie Sidney, 5728.11, Personal
10145, Ramona Rosalez, 4444.11, Personal
10146, Tasha Despres, 1365.83, Personal
10147, Marry Tsao, 6760.49, Personal
10148, Noriko Salazar, 8633.40, Personal
10149, Raguel Bonnie, 9434.44, Personal
10150, Silicontaxon, 8632.08, Business
10151, Zimqvoplus, 7824.56, Business
10152, Unatax, 18203.76, Business
10153, strongin, 6700.66, Business
10154, Gravela, 16077.30, Business
10155, Canbam, 1214.98, Business
10156, Anotgreen, 11851.08, Business
10157, Indigofan, 1690.62, Business
10158, Vaiahow, 18343.77, Business
10159, Concanlax, 16759.31, Business
10160, Tech-lane, -431.42, Business
10161, Labron, 3721.08, Business
10162, techi-texon, 4113.16, Business
10163, Zummalab, 10653.42, Business
10164, Zummais, 14380.08, Business
10165, Temptexon, 16266.07, Business
10166, Qvofix, 11655.57, Business
10167, Kanlab, 15428.64, Business
10168, nim-zap, 15747.26, Business
10169, Tongeofind, 11424.83, Business
10170, Hottrans, 9775.42, Business
10171, Plusline, 8675.19, Business
10172, statbase, 19552.54, Business
10173, xx--con, 4784.45, Business
10174, Phystaex, 15216.44, Business
10175, Strongex, 5971.07, Business
10176, Techilab, 18895.93, Business
10177, Lamholdings, 13428.91, Business
10178, Soloin, 17237.11, Business
10179, O-high, 11595.92, Business
10180, Alphatrax, 9235.51, Business
10181, Saocorporation, 12213.42, Business
10182, Techikix, 15691.03, Business
10183, Sunace, 2442.87, Business
10184, Cangreen, 2289.63, Business
10185, Acezoom, 16189.85, Business
10186, K-trax, 14231.81, Business
10187, unalax, 9199.64, Business
10188, Singlegreen, 3133.37, Business
10189, Whitedom, 3019.55, Business
10190, Randax, 12221.17, Business
10191, Plusex, 7483.49, Business
10192, Unotouch, 6199.23, Business
10193, Sanzenfind, 8951.60, Business
10194, Ontocom, 16344.63, Business
10195, Bluetrans, 15232.77, Business
10196, Zumtraxace, 5963.07, Business
10197, Canex, 8162.82, Business
10198, don-fax, 17074.90, Business
10199, Rankfase, 21137.91, Business
10200, drillex, 19982.99, Business
10201, Stancan, 22182.60, Business
10202, Lamunolux, 19368.05, Business
10203, X-corporation, 17979.48, Business
10204, Lamzone, 12819.94, Business
10205, hayis, 15175.06, Business
10206, Pluslex, 3232.27, Business
10207, Kayhigh, 15011.87, Business
10208, Roundcode, 11144.74, Business
10209, O-hex, 1032.22, Business
10210, Plustechi, 5054.39, Business
10211, Statzone, 8111.38, Business
10212, Ranholding, 13049.16, Business
10213, X-bam, 18475.22, Business
10214, ranktrans, 14409.78, Business
10215, Rankgreen, 13583.15, Business
10216, Carenimla, 7423.75, Business
10217, Zotdom, 3504.37, Business
10218, Funflex, 10817.92, Business
10219, Bamholdings, 15939.68, Business
10220, Zontech, 6818.81, Business
